category,title,link,last_updated,data_source,verification_status
Main Organizations,UN - Children in Armed Conflict,https://www.un.org/en/global-issues/children-armed-conflict,2024-07-15,United Nations,Verified
Main Organizations,WHO - Health Impact on Gaza's Children,https://www.who.int/news/item/11-01-2024-health-impacts-gaza-children,2024-07-15,World Health Organization,Verified
Main Organizations,UNICEF - Children Killed in Gaza,https://www.unicef.org/press-releases/children-killed-gaza,2024-07-15,UNICEF,Verified
Main Organizations,UNRWA - Press Releases & Reports,https://www.unrwa.org/newsroom/press-releases,2024-07-15,UNRWA,Verified
US & UK Documentation,US State Department Human Rights Reports,https://www.state.gov/reports/country-reports-on-human-rights-practices/,2024-07-15,US State Department,Verified
US & UK Documentation,Human Rights Watch (US/UK),https://www.hrw.org/middle-east/north-africa/israel/palestine,2024-07-15,Human Rights Watch,Verified
US & UK Documentation,Amnesty International (UK),https://www.amnesty.org/en/location/middle-east-and-north-africa/palestine-state/report-palestine-state/,2024-07-15,Amnesty International,Verified
Deutsch (German) Resources,Gesellschaft für bedrohte Völker,https://www.gfbv.de/de/informieren/aktuelles/,2024-07-15,GfbV,Verified
Deutsch (German) Resources,Tagesschau - Gaza Kinder,https://www.tagesschau.de/ausland/nahost/gaza-kinder-101.html,2024-07-15,ARD Tagesschau,Verified
Arabic Resources,يونيسف - تقارير الأطفال في غزة,https://www.unicef.org/arabic/press-releases,2024-07-15,UNICEF Arabic,Verified
Arabic Resources,الجزيرة - أخبار غزة والأطفال,https://www.aljazeera.net/news,2024-07-15,Al Jazeera,Verified
Israeli Resources,B'Tselem - Children in Conflict,https://www.btselem.org/topic/children,2024-07-15,B'Tselem,Verified
Israeli Resources,Haaretz - Palestinian Children News,https://www.haaretz.com/middle-east-news/palestinians/,2024-07-15,Haaretz,Verified
Legal Framework & International Law,Geneva Convention IV Article 27,https://ihl-databases.icrc.org/customary-ihl/eng/docs/home,2024-07-15,ICRC,Verified
Legal Framework & International Law,Rome Statute (ICC),https://www.icc-cpi.int/resource-library/documents/rs-eng.pdf,2024-07-15,International Criminal Court,Verified